image1_image2,label
13233_13234,diff
13235_13236,same
13237_13238,same
13239_13240,same
13241_13242,same
13243_13244,diff
13245_13246,diff
13247_13248,diff
13249_13250,diff
13251_13252,diff
13253_13254,same
13255_13256,same
13257_13258,same
13259_13260,diff
13261_13262,same
13263_13264,diff
13265_13266,same
13267_13268,diff
13269_13270,same
13271_13272,diff
13273_13274,same
13275_13276,same
13277_13278,diff
13279_13280,diff
13281_13282,same
13283_13284,diff
13285_13286,diff
13287_13288,diff
13289_13290,diff
13291_13292,same
13293_13294,diff
13295_13296,diff
13297_13298,diff
13299_13300,diff
13301_13302,same
13303_13304,diff
13305_13306,diff
13307_13308,diff
13309_13310,diff
13311_13312,same
13313_13314,same
13315_13316,diff
13317_13318,diff
13319_13320,same
13321_13322,same
13323_13324,same
13325_13326,same
13327_13328,same
13329_13330,same
13331_13332,same
13333_13334,same
13335_13336,same
13337_13338,same
13339_13340,diff
13341_13342,diff
13343_13344,diff
13345_13346,same
13347_13348,diff
13349_13350,same
13351_13352,same
13353_13354,diff
13355_13356,same
13357_13358,diff
13359_13360,same
13361_13362,diff
13363_13364,same
13365_13366,same
13367_13368,diff
13369_13370,diff
13371_13372,diff
13373_13374,diff
13375_13376,same
13377_13378,diff
13379_13380,same
13381_13382,same
13383_13384,same
13385_13386,same
13387_13388,diff
13389_13390,diff
13391_13392,diff
13393_13394,same
13395_13396,diff
13397_13398,diff
13399_13400,same
13401_13402,diff
13403_13404,diff
13405_13406,same
13407_13408,same
13409_13410,diff
13411_13412,same
13413_13414,diff
13415_13416,diff
13417_13418,diff
13419_13420,diff
13421_13422,diff
13423_13424,diff
13425_13426,diff
13427_13428,diff
13429_13430,same
13431_13432,same
13433_13434,diff
13435_13436,diff
13437_13438,diff
13439_13440,same
13441_13442,diff
13443_13444,same
13445_13446,diff
13447_13448,same
13449_13450,diff
13451_13452,diff
13453_13454,same
13455_13456,diff
13457_13458,diff
13459_13460,diff
13461_13462,same
13463_13464,same
13465_13466,same
13467_13468,same
13469_13470,same
13471_13472,same
13473_13474,diff
13475_13476,same
13477_13478,same
13479_13480,same
13481_13482,diff
13483_13484,diff
13485_13486,same
13487_13488,diff
13489_13490,diff
13491_13492,diff
13493_13494,same
13495_13496,same
13497_13498,same
13499_13500,same
13501_13502,same
13503_13504,same
13505_13506,same
13507_13508,same
13509_13510,diff
13511_13512,same
13513_13514,same
13515_13516,same
13517_13518,diff
13519_13520,diff
13521_13522,same
13523_13524,diff
13525_13526,diff
13527_13528,same
13529_13530,diff
13531_13532,same
13533_13534,diff
13535_13536,same
13537_13538,diff
13539_13540,same
13541_13542,same
13543_13544,same
13545_13546,same
13547_13548,diff
13549_13550,diff
13551_13552,diff
13553_13554,same
13555_13556,same
13557_13558,diff
13559_13560,diff
13561_13562,same
