image1_image2,label
2766_11220,same
8881_4319,same
11077_4436,same
12152_685,diff
12938_1697,same
7568_7378,diff
524_2778,diff
2717_8373,same
6773_4597,same
114_8915,diff
8634_1354,same
2999_6008,same
2012_12553,same
9713_12754,diff
5500_3191,diff
7703_3147,same
991_8736,diff
3692_5019,diff
1030_5416,diff
3186_73,diff
3482_8796,same
2866_1799,same
7348_2961,same
8275_6300,same
6186_8276,same
7756_2175,same
11191_12698,diff
12451_3405,same
2714_10435,same
287_2971,same
5469_6483,diff
3267_3137,diff
6580_12033,same
785_6021,same
3788_7036,diff
400_6124,same
11117_3658,diff
6942_782,diff
10575_10345,same
7672_11147,diff
1798_11533,same
6122_5471,same
2867_5986,same
12541_12970,same
10753_3081,same
5213_10045,diff
2089_3769,diff
4396_1767,diff
6296_10380,diff
12541_1845,diff
7092_5522,same
3330_7749,same
5476_9245,diff
7158_6031,diff
8284_8276,same
3939_8950,diff
4920_7749,diff
10681_4964,diff
2932_12152,diff
2871_8210,diff
3944_1118,diff
8534_1058,diff
1360_8158,same
6115_2476,same
145_9543,diff
2183_12180,diff
5959_7371,diff
5338_3940,diff
4980_1049,same
6208_2689,diff
5940_9211,diff
7408_1537,same
7049_711,diff
7491_11955,diff
13067_5864,same
10823_9696,diff
1835_6286,same
11154_12181,diff
1364_2959,diff
1780_6394,diff
3725_177,diff
10951_8035,same
6614_12912,same
8296_12953,same
3387_2706,same
6078_10508,same
7375_7647,diff
10283_12130,diff
12394_3006,diff
7994_13079,same
11835_2261,same
8553_6296,diff
7240_4613,same
1631_1063,same
6140_1383,same
2327_11358,same
10235_783,diff
5870_7686,same
3081_7200,diff
9518_8166,same
6983_2379,same
12751_11379,same
2143_9822,same
9881_5584,same
11731_9170,same
3424_11967,diff
4292_6207,same
6050_9969,diff
6787_6882,same
917_6893,diff
1386_7162,same
5442_6234,same
11791_1914,same
3717_7577,diff
7906_8063,diff
6305_7763,same
4655_8333,same
11871_12578,same
2821_4394,diff
11474_3619,diff
2955_12715,same
11153_13180,same
879_7098,diff
11959_11417,diff
5139_13123,diff
4011_3147,same
7812_5594,same
7204_9267,same
1218_8163,same
12975_7810,same
10248_8786,diff
1607_11892,same
9058_2083,diff
3638_1489,same
3790_5857,diff
88_12714,diff
8435_8482,same
10713_2514,same
6391_3971,diff
10472_5420,diff
7975_5570,same
174_4669,same
11086_3254,same
8495_6857,diff
4632_8748,same
5915_1594,same
6635_11769,same
10712_5553,same
11113_12236,same
3041_2149,diff
11636_8919,same
2857_8741,diff
10080_9322,diff
10805_1513,diff
1886_6965,diff
5231_1448,same
10405_7546,same
650_194,same
4497_436,same
2658_9994,same
655_8103,same
1100_3154,same
2297_5462,same
11960_3923,diff
8246_11157,diff
4450_5705,same
2604_4552,same
8063_2179,same
1876_11394,same
7116_4971,diff
5913_5855,same
6390_9689,diff
5516_4227,same
1403_3229,same
4257_2215,same
3845_9668,diff
604_8732,same
2677_5577,same
6431_10089,same
1911_2661,diff
11592_8719,same
2483_10452,diff
9217_834,diff
12454_6201,same
6878_6888,same
6942_7936,diff
10013_1560,diff
6059_11520,diff
3031_12957,diff
9668_3016,diff
7140_7217,same
6597_2703,same
8831_11173,same
5702_5005,diff
6594_12368,diff
4647_5392,diff
423_9091,same
3319_1156,same
12964_8598,same
7625_2318,diff
12785_9500,diff
12940_3607,same
11273_12445,same
8734_6265,diff
8826_2598,same
791_2712,diff
1426_7758,same
12756_3252,same
10644_5385,diff
5685_411,same
11293_11670,same
6891_10637,diff
4035_4816,same
7417_6623,diff
2650_1208,diff
8674_7789,diff
12880_7934,same
11046_301,diff
9574_279,diff
6823_7421,diff
10850_4088,diff
6272_10540,diff
377_7459,same
2439_12643,diff
10796_3696,same
8899_3741,same
9746_7845,diff
442_10714,diff
4603_7784,diff
6376_12765,diff
4813_9264,diff
12755_12602,diff
950_5772,same
3432_4822,same
1815_9264,diff
1223_5021,diff
10870_5323,diff
1511_6033,same
4892_6441,diff
5313_5506,same
11790_6686,same
5929_3181,diff
9455_3906,same
9989_7978,same
5941_13048,same
7961_7593,same
7314_2174,diff
2001_2764,diff
4383_6393,diff
9873_9931,diff
9323_5716,diff
6390_9218,diff
12459_9406,diff
8687_5165,diff
5338_6199,diff
2452_4360,same
450_3498,diff
10707_12894,same
1867_10211,diff
3434_10703,same
827_5717,diff
9818_11659,same
10759_1959,same
899_12866,diff
2270_6846,same
8242_3391,same
2729_10952,same
11730_97,diff
529_702,diff
3924_6417,same
12295_5389,same
1099_5865,same
10680_9547,same
11052_11143,same
9713_4692,same
1101_5832,diff
2207_7772,diff
2939_10322,same
9667_12972,diff
8448_479,same
1187_5772,same
2979_11914,same
12849_10094,diff
11804_7478,same
3011_10231,diff
2964_3005,same
2280_8344,same
9761_10222,same
6485_6919,diff
3360_7518,diff
7308_8177,diff
6176_3048,diff
6635_1790,same
8241_10123,same
1481_7402,diff
6471_3635,diff
5929_4628,diff
11873_1647,diff
4212_732,same
5337_6084,same
6987_12789,same
7472_8162,diff
2876_10454,same
9926_10398,same
5306_2783,diff
1000_10733,diff
4419_9808,same
9223_4330,diff
9333_3341,diff
1054_2200,diff
8748_1570,diff
7714_8049,diff
11858_188,same
7193_6103,diff
282_5892,same
12400_9050,diff
10595_10800,same
4011_5907,same
2404_10261,diff
11729_6384,same
4768_9089,same
11593_7322,diff
13130_3462,same
2385_6650,same
257_8367,same
2643_12791,same
7002_5755,diff
3508_3316,diff
11787_262,same
2774_4222,same
11479_7839,diff
11169_11358,same
11737_5437,diff
2331_2086,diff
5128_2611,same
222_6009,same
6393_11969,same
11914_11670,same
7837_2008,diff
2831_7954,diff
2601_12581,diff
5117_12085,same
4648_11108,same
3008_776,same
6286_1735,diff
4207_3834,same
2876_8594,diff
12414_5058,same
12175_8278,same
761_805,same
5866_10641,diff
7754_11925,diff
2097_7426,same
4401_7402,diff
1428_1519,diff
1383_2883,same
3543_6084,same
7189_9964,diff
4776_1580,same
1463_6955,same
9484_3458,diff
8059_153,same
4930_11459,same
10190_9533,diff
3059_12683,diff
978_3790,diff
8130_59,diff
4921_11876,same
7788_2852,same
3615_1912,diff
6358_12083,diff
9726_7322,diff
2655_10925,diff
10323_3025,same
11161_2492,diff
1151_10084,diff
5385_9343,diff
8397_2846,diff
11536_11759,diff
673_13208,same
7582_4244,diff
7907_917,same
2042_325,diff
539_1610,same
12715_11061,diff
4530_808,same
5515_3471,diff
956_8231,diff
706_10637,diff
11748_10832,same
3171_3647,diff
7902_11212,diff
6156_2662,diff
5594_1211,diff
2848_12750,diff
10442_12900,diff
8952_2773,diff
10253_1448,same
4505_9012,diff
6602_2410,same
8095_530,diff
4537_3598,same
2188_12862,same
8500_7811,diff
11976_6783,diff
4603_5154,diff
3117_1835,diff
700_3997,diff
5414_2494,same
3214_6105,same
7612_2404,same
11463_3840,diff
903_4880,diff
7705_1526,same
4644_11734,same
4377_302,diff
9116_9799,same
8101_8634,diff
6653_5517,same
856_4315,same
4401_8330,diff
8164_8919,same
7533_11191,diff
11452_12692,same
4378_11802,same
6028_496,diff
4405_3913,same
3721_4641,diff
10185_2751,same
10689_11727,same
5053_3789,diff
2482_10559,same
462_10722,diff
13091_11284,diff
10442_5309,diff
6334_2443,diff
2142_12701,diff
10883_11446,diff
9343_9607,diff
9046_2732,diff
12234_2475,diff
7119_7373,diff
8887_9614,same
11791_10911,same
6500_4128,same
6518_4610,same
8514_9965,diff
6178_8683,same
12579_12448,diff
8414_2503,diff
12189_4447,diff
12229_12419,diff
5923_6430,diff
8329_6682,same
8245_3567,same
12253_4978,diff
6782_76,same
339_2816,diff
1773_4734,same
465_10716,diff
5139_12400,diff
3242_3746,same
10539_6576,diff
11182_1771,diff
6010_5864,same
5546_8707,diff
905_3752,same
4702_9693,diff
8414_12745,same
2579_10226,diff
1291_2982,diff
3364_6842,diff
9713_3776,same
10759_1470,same
853_10556,diff
10415_10849,diff
5069_1206,diff
10995_10282,diff
3497_11538,same
41_9591,same
2651_12106,same
8013_6427,diff
2640_5521,same
1978_3734,same
11046_7670,diff
916_40,same
11071_394,diff
9409_7354,same
8189_11933,same
8884_9008,diff
13225_3342,diff
3884_7261,diff
10377_977,same
13224_4035,diff
3529_1359,diff
3427_12838,same
9805_8611,same
10683_10154,same
12485_3762,same
335_493,diff
10042_10451,diff
11475_7568,diff
2146_10583,same
10226_13212,same
3163_13014,same
9335_7609,same
4477_12713,same
516_3059,diff
3312_11027,diff
3867_5566,diff
4450_6606,same
6022_107,same
11012_8560,same
4606_12683,same
9953_2245,same
7204_9406,diff
1997_9858,same
11472_3331,same
12788_6290,same
6057_10746,diff
2479_9597,diff
847_8209,same
8654_12106,same
9029_6996,same
10888_10390,same
5858_1290,same
7611_12876,same
4012_9740,same
7202_11796,diff
348_11665,same
11000_12420,same
8150_5944,same
6213_3613,same
2175_11269,diff
1535_12732,same
6039_2633,diff
9421_2577,diff
11445_10066,same
8057_952,same
10471_12031,same
13232_4548,diff
4247_4692,same
5340_7812,diff
4173_8192,same
8557_11715,same
686_8372,same
3477_6930,same
9736_10205,same
10115_5337,diff
524_3574,diff
6378_430,diff
2527_13070,same
12180_557,diff
12709_9131,diff
3706_10555,same
4535_8083,diff
12101_937,diff
4750_12524,diff
3339_10825,same
2609_12816,same
8040_9847,diff
6296_779,diff
8481_8869,same
5671_84,same
2704_1326,same
8831_10454,diff
12052_4041,same
155_7132,diff
6463_9872,diff
9863_13160,same
8668_10317,diff
3870_1941,same
6537_2386,same
9971_5737,same
6861_4742,same
2365_2444,same
10373_12268,diff
10910_4804,diff
2697_8824,same
9405_6455,same
5686_690,same
835_8736,diff
10877_9943,diff
12471_3536,same
12248_11231,diff
5546_10193,diff
4554_12567,same
9979_9027,same
13227_10424,diff
8464_289,same
10070_1175,same
3390_3040,diff
7949_3774,same
2161_7190,diff
307_5831,diff
5776_2598,diff
8834_10843,same
9640_8280,same
8182_9490,diff
1905_3356,same
1920_5732,diff
8489_11649,diff
6741_11691,same
8728_8061,diff
2886_9102,diff
9351_6939,same
5046_3223,same
3983_3425,diff
11075_11097,diff
32_12245,same
5118_10695,diff
13180_3589,diff
4426_9453,same
318_9359,same
4961_2601,diff
1368_10378,diff
11660_10928,same
10118_9258,diff
8873_11514,diff
9542_9133,same
